Feature,,
fips,FIPS Code for the County,
TOT_POP,Total Population,This data as well as all Age and Race data is pulled from the 2019 Population Estimates of the US Census
0-9,Population aged 0-9,All of the other age columns are the same but with varying age
0-9 y/o % of total pop,% of the population aged 0-9,
10-19',,
10-19 y/o % of total pop,,
20-29,,
20-29 y/o % of total pop,,
30-39,,
30-39 y/o % of total pop,,
40-49,,
40-49 y/o % of total pop,,
50-59,,
50-59 y/o % of total pop,,
60-69,,
60-69 y/o % of total pop,,
70-79,,
70-79 y/o % of total pop,,
80+,,
80+ y/o % of total pop,,
White-alone pop,Population that is White only,All of the other age columns are the same but with varying age
% White-alone,% of population that is White only,
Black-alone pop,,
% Black-alone,,
Native American/American Indian-alone pop,,
% NA/AI-alone,,
Asian-alone pop,,
% Asian-alone,,
Hawaiian/Pacific Islander-alone pop,,
% Hawaiian/PI-alone,,
Two or more races pop,,
% Two or more races,,
N_POP_CHG_2018,Numeric Change in resident total population 7/1/2017 to 7/1/2018,
GQ_ESTIMATES_2018,7/1/2018 Group Quarters total population estimate,
R_birth_2018,Birth rate in period 7/1/2017 to 6/30/2018,
R_death_2018,Death rate in period 7/1/2017 to 6/30/2018,
R_NATURAL_INC_2018,Natural increase rate in period 7/1/2016 to 6/30/2017,
R_INTERNATIONAL_MIG_2018,Net international migration rate in period 7/1/2017 to 6/30/2018,
R_DOMESTIC_MIG_2018,Net domestic migration rate in period 7/1/2017 to 6/30/2018,
R_NET_MIG_2018,Net migration rate in period 7/1/2017 to 6/30/2018,
Less than a high school diploma 2014-18,"Education variables are self explanatory, first 4 are number and second 4 are %",
High school diploma only 2014-18,,
Some college or associate's degree 2014-18,,
Bachelor's degree or higher 2014-18,,
Percent of adults with less than a high school diploma 2014-18,,
Percent of adults with a high school diploma only 2014-18,,
Percent of adults completing some college or associate's degree 2014-18,,
Percent of adults with a bachelor's degree or higher 2014-18,,
POVALL_2018,Estimate of people of all ages in poverty 2018,
PCTPOVALL_2018,Estimated percent of people of all ages in poverty 2018,
PCTPOV017_2018,Estimated percent of people age 0-17 in poverty 2018,
PCTPOV517_2018,Estimate of related children age 5-17 in families in poverty 2018,
MEDHHINC_2018,Estimate of median household income 2018,
CI90LBINC_2018,90% confidence interval lower bound of estimate of median household income 2018,
CI90UBINC_2018,90% confidence interval upper bound of estimate of median household income 2018,
Civilian_labor_force_2018,Civilian labor force annual average,
Employed_2018,Number employed annual average,
Unemployed_2018,Number unemployed annual average,
Unemployment_rate_2018,Unemployment rate,
Med_HH_Income_Percent_of_State_Total_2018,"County Household Median Income as a percent of the State Total Median Household Income, 2018",
Active Physicians per 100000 Population 2018 (AAMC),"Total Active Patient Care Physicians per 100,000 Population, 2018 (Assumed identical to state)",
Total Active Patient Care Physicians per 100000 Population 2018 (AAMC),"Active Primary Care Physicians per 100,000 Population, 2018 (Assumed identical to state)",
Active Patient Care Primary Care Physicians per 100000 Population 2018 (AAMC),"Active Patient Care Primary Care Physicians per 100,000 Population, 2018 (Assumed identical to state)",
Active General Surgeons per 100000 Population 2018 (AAMC),"Active General Surgeons per 100,000 Population, 2018 (Assumed identical to state)",
Active Patient Care General Surgeons per 100000 Population 2018 (AAMC),"Active Patient Care General Surgeons per 100,000 Population, 2018 (Assumed identical to state)",
Total nurse practitioners (2019),Total nurses (2019) (Assumed proportion to fraction of state population living in county,
Total physician assistants (2019),Total physical assistants (2019) (Assumed proportion to fraction of state population living in county,
Total Hospitals (2019),Total Hospitals (2019) (Assumed proportion to fraction of state population living in county),
Internal Medicine Primary Care (2019),Active Internal Medicine Primary Care Physicians (2019) (Assumed proportion to fraction of state population living in county),
Family Medicine/General Practice Primary Care (2019),Active Family Medicine/General Practice Primary Care Physicians (2019) (Assumed proportion to fraction of state population living in county),
